location,shell,proxy,value,std
Faro Punta Sottile,FPS-E_D,d18o,1.55,0.05
Faro Punta Sottile,FPS-E_D,d18o,1.67,0.04
Faro Punta Sottile,FPS-E_D,d18o,1.88,0.03
Faro Punta Sottile,FPS-E_D,d18o,1.90,0.04
Faro Punta Sottile,FPS-E_D,d18o,1.90,0.04
Faro Punta Sottile,FPS-E_D,d18o,1.51,0.03
Faro Punta Sottile,FPS-E_D,d18o,1.38,0.05
Faro Punta Sottile,FPS-E_D,d18o,1.19,0.05
Faro Punta Sottile,FPS-E_D,d18o,0.52,0.05
Faro Punta Sottile,FPS-E_D,d18o,0.00,0.04
Faro Punta Sottile,FPS-E_D,d18o,-0.24,0.03
Faro Punta Sottile,FPS-E_D,d18o,1.80,0.04
Faro Punta Sottile,FPS-E_D,d18o,2.08,0.05
Faro Punta Sottile,FPS-E_D,d18o,2.24,0.05
Faro Punta Sottile,FPS-E_D,d18o,2.16,0.05
Faro Punta Sottile,FPS-E_D,d18o,2.06,0.03
Faro Punta Sottile,FPS-E_D,mg_ca,0.698295116,0.024498705
Faro Punta Sottile,FPS-E_D,mg_ca,0.725942245,0.016419918
Faro Punta Sottile,FPS-E_D,mg_ca,0.708247748,0.019936627
Faro Punta Sottile,FPS-E_D,mg_ca,0.668072427,0.016407782
Faro Punta Sottile,FPS-E_D,mg_ca,0.674406802,0.02360085
Faro Punta Sottile,FPS-E_D,mg_ca,0.608194969,0.030172816
Faro Punta Sottile,FPS-E_D,mg_ca,0.618681226,0.014784754
Faro Punta Sottile,FPS-E_D,mg_ca,0.613686058,0.020642047
Faro Punta Sottile,FPS-E_D,mg_ca,0.618791535,0.015744105
Faro Punta Sottile,FPS-E_D,mg_ca,0.591846769,0.029509738
Faro Punta Sottile,FPS-E_D,mg_ca,0.583905035,0.027556798
Faro Punta Sottile,FPS-E_D,mg_ca,0.597687233,0.021410282
Faro Punta Sottile,FPS-E_D,mg_ca,0.590178136,0.014896022
Faro Punta Sottile,FPS-E_D,mg_ca,0.575206964,0.034870789
Faro Punta Sottile,FPS-E_D,mg_ca,0.596754581,0.031381128
Faro Punta Sottile,FPS-E_D,mg_ca,0.578712853,0.0239145
Faro Punta Sottile,FPS-E_D,mg_ca,0.577413216,0.028108964
Faro Punta Sottile,FPS-E_D,mg_ca,0.584315956,0.019310374
Faro Punta Sottile,FPS-E_D,mg_ca,0.585242012,0.021311346
Faro Punta Sottile,FPS-E_D,mg_ca,0.596680302,0.024285948
Faro Punta Sottile,FPS-E_D,mg_ca,0.579316115,0.024102504
Faro Punta Sottile,FPS-E_D,mg_ca,0.589002272,0.015754917
Faro Punta Sottile,FPS-E_D,mg_ca,0.585604094,0.015976613
Faro Punta Sottile,FPS-E_D,mg_ca,0.583823737,0.031060052
Faro Punta Sottile,FPS-E_D,mg_ca,0.590499534,0.015452612
Faro Punta Sottile,FPS-E_D,mg_ca,0.581419041,0.019971382
Faro Punta Sottile,FPS-E_D,mg_ca,0.601730879,0.023751465
Faro Punta Sottile,FPS-E_D,mg_ca,0.588207875,0.020676257
Faro Punta Sottile,FPS-E_D,mg_ca,0.551969571,0.020992218
Faro Punta Sottile,FPS-E_D,mg_ca,0.596666156,0.027084031
Faro Punta Sottile,FPS-E_D,mg_ca,0.595064551,0.015052938
Faro Punta Sottile,FPS-E_D,mg_ca,0.586339671,0.022456635
Faro Punta Sottile,FPS-E_D,mg_ca,0.582462162,0.01938091
Faro Punta Sottile,FPS-E_D,mg_ca,0.57698785,0.017314206
Faro Punta Sottile,FPS-E_D,mg_ca,0.574445096,0.010537975
Faro Punta Sottile,FPS-E_D,mg_ca,0.628142857,0.018892543
Faro Punta Sottile,FPS-E_D,mg_ca,0.590294924,0.020314897
Faro Punta Sottile,FPS-E_D,mg_ca,0.59684424,0.014839083
Faro Punta Sottile,FPS-E_D,mg_ca,0.590136401,0.032355577
Faro Punta Sottile,FPS-E_D,mg_ca,0.632445132,0.02612756
Faro Punta Sottile,FPS-E_D,mg_ca,0.631403338,0.022285762
Faro Punta Sottile,FPS-E_D,mg_ca,0.597976723,0.020220615
